Gene,Half-life (h)
YAL001C,0.133934039
YAL002W,0.091088388
YAL003W,0.60077632
YAL005C,0.489957814
YAL007C,0.603270443
YAL008W,0.273499268
YAL009W,0.155829888
YAL010C,0.071494516
YAL011W,0.076944428
YAL012W,0.46670826
YAL013W,0.084965621
YAL014C,0.125204019
YAL015C,0.167620084
YAL016C-B,0.097590112
YAL016W,0.230907302
YAL017W,0.093412016
YAL018C,0.547932014
YAL019W,0.184560722
YAL020C,0.180085649
YAL021C,0.081869428
YAL022C,0.169822646
YAL023C,0.290545205
YAL024C,0.070931128
YAL025C,0.099119707
YAL026C,0.282738544
YAL027W,0.065840865
YAL028W,0.086624139
YAL029C,0.159220022
YAL030W,0.593771136
YAL031C,0.061754145
YAL032C,0.061891842
YAL033W,0.186272043
YAL034C,0.086646466
YAL034W-A,0.060752691
YAL035W,0.436426416
YAL036C,0.241731172
YAL037C-A,0.127855972
YAL037W,0.049243931
YAL038W,0.650554792
YAL039C,0.139189621
YAL040C,0.052037684
YAL041W,0.078990266
YAL042W,0.581621473
YAL043C,0.089277495
YAL044C,1.148942059
YAL044W-A,0.581309812
YAL046C,0.333552603
YAL047C,0.084574994
YAL048C,0.058350909
YAL049C,0.290231888
YAL051W,0.044987708
YAL053W,0.143381882
YAL054C,0.242436771
YAL055W,0.109125157
YAL056W,0.069708804
YAL058W,0.210141292
YAL059W,0.144629956
YAL060W,0.27545434
YAL061W,0.261611478
YAL062W,0.491361442
YAL063C,0.075620156
YAL063C-A,0.039878696
YAL064C-A,0.397611296
YAL064W,0.091312504
YAL064W-B,0.130454022
YAL065C,0.276385832
YAL067C,0.11770072
YAL067W-A,0.321568127
YAL068C,0.054928245
YAR002C-A,0.849868515
YAR002W,0.104813281
YAR003W,0.102795197
YAR007C,0.102515817
YAR008W,0.124295011
YAR009C,0.631752294
YAR010C,0.270351653
YAR014C,0.135200412
YAR015W,0.40305971
YAR018C,0.119492742
YAR019C,0.083936693
YAR020C,0.038515439
YAR023C,0.1241276
YAR027W,0.186978295
YAR028W,0.136301624
YAR029W,0.031236119
YAR031W,0.617463538
YAR033W,0.144720798
YAR035C-A,0.102601486
YAR035W,0.409607659
YAR042W,0.085618525
YAR050W,0.093279376
YAR064W,0.213946359
YAR066W,0.08375417
YAR068W,0.055643113
YAR071W,0.303151461
YAR073W,0.358801164
YAR075W,0.369776959
YBL001C,1.715947645
YBL002W,0.309375379
YBL003C,0.299164677
YBL004W,0.187380518
YBL005W,0.13866389
YBL005W-A,0.094902107
YBL006C,0.123717219
YBL007C,0.32517282
YBL008W,0.104884991
YBL008W-A,0.334798388
YBL009W,0.093615436
YBL010C,0.039387954
YBL011W,0.17064399
YBL013W,0.118610741
YBL014C,0.031036084
YBL015W,0.191837079
YBL016W,0.07512753
YBL017C,0.148639594
YBL018C,0.200010378
YBL019W,0.088667564
YBL020W,0.153881409
YBL021C,0.054997673
YBL022C,0.205232192
YBL023C,0.132496574
YBL024W,0.267597349
YBL025W,0.052926189
YBL026W,0.186170344
YBL027W,0.779567938
YBL028C,0.100725412
YBL029C-A,0.106544392
YBL029W,0.101199901
YBL030C,0.410730072
YBL031W,0.071510863
YBL032W,0.463082693
YBL033C,0.069757088
YBL034C,0.115978612
YBL035C,0.081852725
YBL036C,0.319063569
YBL037W,0.077835643
YBL038W,0.062388118
YBL039C,0.354703874
YBL040C,0.288858065
YBL041W,0.259006942
YBL042C,0.08079497
YBL043W,0.074123712
YBL044W,0.246571482
YBL045C,0.265974942
YBL046W,0.068828767
YBL047C,0.227253359
YBL049W,0.334991722
YBL050W,0.17602859
YBL051C,0.171487873
YBL052C,0.069176576
YBL054W,0.075340318
YBL055C,0.158244529
YBL056W,0.220078199
YBL057C,0.305354827
YBL058W,0.257361528
YBL059C-A,0.153371556
YBL059W,0.113397852
YBL060W,0.056979756
YBL061C,0.090984041
YBL063W,0.082808274
YBL064C,0.31645837
YBL066C,0.037366462
YBL067C,0.217244765
YBL068W,0.243211915
YBL069W,0.115095397
YBL071C-B,0.202528018
YBL071W-A,0.120432515
YBL072C,0.675048386
YBL074C,0.102703177
YBL075C,0.099830967
YBL076C,0.401981478
YBL078C,0.097973096
YBL079W,0.190660468
YBL080C,0.05101748
YBL081W,0.063068884
YBL082C,0.234985848
YBL084C,0.067635542
YBL085W,0.084034523
YBL086C,0.054204492
YBL087C,0.595051197
YBL088C,0.106560189
YBL089W,0.110027901
YBL090W,0.086938892
YBL091C,0.850881153
YBL091C-A,0.385433398
YBL092W,0.504188156
YBL093C,0.120357168
YBL095W,0.078360706
YBL097W,0.075690894
YBL098W,0.39092319
YBL099W,0.626715077
YBL101C,0.167792428
YBL102W,0.273973818
YBL103C,0.059380837
YBL104C,0.078347542
YBL105C,0.103948688
YBL106C,0.106975822
YBL107C,0.094557258
YBL108C-A,0.105587853
YBL111C,0.041526075
YBL112C,0.051458038
YBL113C,0.154264489
YBR001C,0.121801075
YBR002C,0.068018692
YBR003W,0.142906524
YBR004C,0.13299541
YBR005W,0.082225929
YBR006W,0.219232636
YBR007C,0.062763542
YBR008C,0.077067469
YBR009C,0.24095893
YBR010W,0.234232257
YBR011C,1.316596136
YBR013C,0.29495916
YBR014C,0.265838448
YBR015C,0.226872364
YBR016W,0.134897087
YBR017C,0.202909938
YBR018C,0.132874874
YBR019C,0.424130794
YBR020W,0.059726494
YBR021W,0.095824388
YBR022W,0.149127615
YBR023C,0.191210122
YBR024W,0.21242068
YBR025C,0.648725534
YBR026C,0.564342071
YBR028C,0.109587013
YBR029C,0.159150007
YBR030W,0.097647454
YBR031W,0.57520477
YBR033W,0.164665353
YBR034C,0.195406219
YBR035C,0.740094796
YBR036C,0.192005499
YBR037C,0.10015981
YBR038W,0.113497955
YBR039W,0.414373612
YBR040W,2.338570975
YBR041W,0.231881961
YBR042C,0.227728686
YBR043C,0.057040805
YBR044C,0.102114081
YBR045C,0.114299703
YBR046C,0.398953891
YBR047W,0.162333146
YBR048W,0.647048447
YBR049C,0.104333871
YBR050C,0.123355171
YBR052C,0.495779722
YBR053C,0.437035111
YBR054W,0.325955011
YBR055C,0.115172035
YBR056W,0.429566455
YBR056W-A,0.074581154
YBR057C,0.082013741
YBR058C,0.171614204
YBR058C-A,0.326679169
YBR059C,0.168121021
YBR060C,0.113272931
YBR061C,0.140030194
YBR062C,0.218039911
YBR063C,0.083159054
YBR065C,0.028458843
YBR066C,0.087595439
YBR067C,0.458757019
YBR068C,0.058109378
YBR069C,0.115079968
YBR070C,0.2028389
YBR071W,0.048392399
YBR072C-A,0.11942394
YBR072W,5.9667927
YBR073W,0.112479104
YBR074W,0.199355307
YBR076W,0.387414958
YBR077C,0.120604195
YBR078W,0.481582614
YBR079C,0.205119059
YBR080C,0.250855457
YBR081C,0.107194701
YBR082C,0.422893212
YBR083W,0.085128366
YBR084C-A,0.75220685
YBR084W,0.299951757
YBR085C-A,0.116802656
YBR085W,0.146463297
YBR086C,0.232298617
YBR087W,0.20235174
YBR088C,0.181893139
YBR089C-A,0.140435267
YBR090C,0.375071421
YBR091C,0.085073022
YBR092C,0.192554328
YBR093C,0.324771832
YBR094W,0.137182352
YBR095C,0.065575813
YBR096W,0.429214022
YBR097W,0.100074504
YBR098W,0.072887975
YBR101C,0.110538969
YBR102C,0.061780273
YBR103W,0.090042166
YBR104W,0.140360729
YBR105C,0.042934804
YBR106W,0.684206076
YBR107C,0.088593524
YBR108W,0.095341709
YBR109C,0.633564171
YBR110W,0.240034675
YBR111C,0.824105054
YBR111W-A,0.159238871
YBR112C,0.079542537
YBR114W,0.053831424
YBR115C,0.279204722
YBR117C,0.356589679
YBR118W,0.646137787
YBR119W,0.075634651
YBR120C,0.051113996
YBR121C,0.641812514
YBR122C,0.142656572
YBR123C,0.101341257
YBR125C,0.077039033
YBR126C,0.354269385
YBR127C,1.112976222
YBR128C,0.092081445
YBR129C,0.093894354
YBR130C,0.123678015
YBR131W,0.074228293
YBR132C,0.076176042
YBR133C,0.110385721
YBR135W,0.271586839
YBR136W,0.16834566
YBR137W,0.42458737
YBR138C,0.051761809
YBR139W,0.257879004
YBR140C,0.244888977
YBR141C,0.097504243
YBR142W,0.156653209
YBR143C,0.346575592
YBR145W,0.120181262
YBR146W,0.124375604
YBR147W,0.117169699
YBR148W,0.127958104
YBR149W,0.843066751
YBR150C,0.050632189
YBR151W,0.354869823
YBR152W,0.04132616
YBR153W,0.041852398
YBR154C,0.172747939
YBR155W,0.26678148
YBR156C,0.060834815
YBR157C,0.051045036
YBR158W,0.116968397
YBR159W,0.420192524
YBR160W,0.12224544
YBR161W,0.077025604
YBR162C,0.498216791
YBR162W-A,0.220955853
