Gene,Half-life (h)
YAL001C,7.916666667
YAL005C,1.283333333
YAL007C,0.816666667
YAL008W,0.433333333
YAL010C,0.716666667
YAL011W,0.933333333
YAL016W,3
YAL017W,0.05
YAL019W,0.466666667
YAL021C,3.733333333
YAL022C,0.05
YAL023C,1.016666667
YAL024C,2.4
YAL026C,0.333333333
YAL027W,0.6
YAL031C,0.283333333
YAL032C,7.9
YAL033W,0.783333333
YAL034W-A,5
YAL035W,5.35
YAL036C,0.95
YAL039C,0.033333333
YAL041W,1.216666667
YAL046C,1933.283333
YAL047C,5
YAL049C,9.333333333
YAL053W,0.483333333
YAL054C,0.483333333
YAL055W,1.166666667
YAL056W,0.133333333
YAL058W,1.183333333
YAL059W,0.6
YAL060W,1.133333333
YAR002C-A,0.55
YAR002W,0.25
YAR003W,0.7
YAR007C,0.583333333
YAR014C,0.483333333
YAR015W,1.283333333
YAR019C,1.816666667
YAR028W,1.033333333
YAR031W,1.733333333
YAR062W,0.9
YAR071W,0.166666667
YBL001C,2.066666667
YBL002W,5
YBL003C,2.783333333
YBL005W,0.85
YBL007C,0.683333333
YBL008W,0.816666667
YBL010C,1.85
YBL011W,3.416666667
YBL014C,0.55
YBL015W,0.1
YBL016W,0.716666667
YBL017C,0.5
YBL018C,0.75
YBL019W,0.666666667
YBL021C,0.85
YBL023C,2.066666667
YBL024W,0.6
YBL025W,6.85
YBL026W,0.516666667
YBL027W,0.8
YBL028C,1.216666667
YBL029C-A,0.2
YBL029W,0.516666667
YBL032W,5
YBL033C,5
YBL034C,1.666666667
YBL035C,0.866666667
YBL036C,5
YBL037W,0.783333333
YBL038W,4.6
YBL039C,6.483333333
YBL040C,1.6
YBL042C,5
YBL045C,4.85
YBL046W,1.083333333
YBL047C,1.233333333
YBL051C,0.333333333
YBL052C,0.116666667
YBL054W,0.3
YBL055C,0.966666667
YBL056W,0.9
YBL057C,0.566666667
YBL058W,1.033333333
YBL059C-A,0.966666667
YBL059W,1.183333333
YBL060W,0.366666667
YBL061C,0.166666667
YBL064C,1.95
YBL067C,0.533333333
YBL068W,1.933333333
YBL069W,0.1
YBL074C,4.166666667
YBL075C,0.983333333
YBL076C,1.466666667
YBL078C,4.816666667
YBL079W,0.333333333
YBL082C,0.5
