Gene,Half-life (h)
thrL,0.058333333
thrA,0.048333333
thrB,0.05
thrC,0.051666667
yaaA,0.063333333
yaaJ,0.138333333
talB,0.056666667
mog,0.17
yaaH,0.088333333
B0011,0.093333333
htgA,0.115
yaaI,0.101666667
dnaK,0.04
dnaJ,0.041666667
yi81_1,0.063333333
yi82_1,0.06
gef,0.138333333
nhaA,0.11
nhaR,0.068333333
insB_1,0.081666667
insA_1,0.088333333
rpsT,0.04
ribF,0
ileS,0.033333333
lspA,0.063333333
yaaF,0.128333333
dapB,0.058333333
carA,0.068333333
carB,0.086666667
caiF,0.168333333
caiE,0.198333333
caiD,0.101666667
caiC,0.088333333
caiB,0.096666667
caiA,0.095
caiT,0.061666667
fixA,0.076666667
fixB,0.078333333
fixC,0.183333333
fixX,0.076666667
yaaU,0.135
yabF,0.115
kefC,0.138333333
folA,0.103333333
apaH,0.06
apaG,0.048333333
ksgA,0.036666667
pdxA,0.056666667
surA,0.028333333
yabH,0.066666667
yabP,0.078333333
yabQ,0.12
yabO,0.075
polB,0.068333333
araD,0.185
araA,0.09
araB,0.176666667
araC,0.081666667
yabI,0.1
yabJ,0.12
yabK,0.121666667
tbpA,0.165
yabN,0.076666667
yabM,0
leuD,0.048333333
leuC,0.035
leuB,0.03
leuA,0.03
leuL,0.116666667
leuO,0.116666667
ilvI,0.051666667
ilvH,0.041666667
fruL,0.078333333
yabB,0.053333333
yabC,0.066666667
ftsI,0.098333333
murE,0.063333333
murF,0.05
mraY,0.131666667
murD,0
murG,0.225
murC,0.141666667
ddlB,0.206666667
ftsQ,0.381666667
ftsA,0
ftsZ,0
lpxC,0.111666667
secA,0.043333333
mutT,0.131666667
yacG,0.095
yacF,0.056666667
yacE,0.053333333
guaC,0.14
hofC,0.111666667
hofB,0
ppdD,0.108333333
nadC,0.043333333
ampD,0.071666667
ampE,0.065
aroP,0.055
pdhR,0.073333333
aceE,0.103333333
aceF,0.165
lpdA,0.096666667
yacH,0.11
acnB,0.035
yacL,0.065
speD,0.161666667
speE,0.073333333
yacC,0.115
hpt,0.105
yadF,0.041666667
yadG,0.068333333
yadH,0.063333333
yadI,0.078333333
yadE,0.1
panD,0.043333333
yadD,0.081666667
panC,0.071666667
panB,0.066666667
yadC,0.141666667
yadK,0.086666667
yadL,0.151666667
yadM,0.07
ecpD,0.096666667
yadN,0.121666667
folK,0.05
pcnB,0.08
