Gene,Half-life (h)
yhiI,1.464138138
ybgK,27.57569726
yjbB,19.8437879
ltaE,7.761513694
ycaO,1.246502154
argI,1.214780219
grcA,2.641776493
ilvD,2.930234716
yrdA,2.972323517
mug,3.708856021
rffG,1.309554919
yfcD,3.273748828
uhpA,2.711713037
leuD,1.09879143
argG,1.805157765
deoA,4.100429713
pyrI,0.415414588
ilvB,3.208202738
ilvI,7.749927324
proV,0.589668066
ttcA,1.017179856
greB,2.451440696
aceA,9.21906064
dkgB,16.61240048
fur,5.723776585
rfaC,0.90329404
edd,4.701948626
gabT,14.83914845
argD,8.300177233
codA,0.311781844
argC,6.348124424
argB,5.103937047
serB,2.947439953
fimC,4.058004791
ilvA,3.63702831
tas,13.78129999
proX,0.649136261
upp,0.836480697
speB,2.763408087
ilvH,3.739149605
pyrB,1.044443977
ybiU,2.976258341
yacG,15.48726037
yahK,14.82178542
yhhX,6.320868655
ynjB,1.776404273
pncB,3.874482946
yiiM,4.887456721
purF,1.494155472
leuC,1.421129881
glgX,4.372717585
rfbD,3.283872739
guaC,15.42688262
suhB,1.782698164
proC,3.667929183
argE,6.276632594
leuA,2.858900992
radA,20.4903424
argH,24.52596268
dld,8.587050516
ptsH,1.387552092
aspA,408.2692121
metF,1.949174122
gcd,5.497835404
ptsI,111.6326714
ribA,9.771486543
ybjX,0.28515465
udk,3.50420213
potG,1.885042192
mgtA,1.095890532
purM,2.409539085
moaC,3.089324306
manX,10.22327866
bioB,0.221455733
yedJ,4.028345865
gltD,3.622376559
eda,12.34950969
nrdF,17.52470012
yciO,4.200839517
metN,6.448705782
queC,1.767143226
purB,5.819304033
ggt,1.089623464
aroE,5.072655925
purE,12.9728162
fumC,1.124298486
fdhE,7.327410684
cysJ,0.248382083
gutQ,5.097722214
dapB,2.118084912
ispA,3.612953722
livK,2.761268292
cydA,4.290016559
ndh,5.266138498
pntB,5.735789993
maeA,3.214133909
galF,3.864702428
pflA,3.334803975
gdhA,8.066577452
sdhA,0.25389846
avtA,2.458197784
rfbB,2.160701784
purT,4.068719809
narL,5.689466536
metE,5.033671358
pyrC,2.569594128
cysK,138.7502086
pckA,9.212954937
murC,5.45816791
glyQ,4.525624665
cysM,2.305727566
hldD,9.476093287
selD,3.499536525
carB,1.241845697
ghrB,4.230124135
nfo,2.688849405
yfdH,8.217263887
glyS,29.28604064
argF,0.698503905
pstS,9.168218764
glgC,1.97553243
serC,54.01319628
potD,5.547725249
dusA,1.862406235
glmU,11.22632168
pitA,1.574046653
ppc,21.3757657
glgP,2.004612608
accD,3.524514071
aceB,2.622153759
deoD,4.418808469
aroF,23.47070509
gloB,25.30729798
pdxJ,6.455061781
cysI,0.863621163
fbp,2.750305841
mtlA,4.604712109
purH,6.202181395
dcd,5.876009134
pflB,6.066013919
glcB,5.710650032
ybiV,7.344496912
rdgB,4.589630727
acs,1.407188072
wbbK,3.536178048
mdoH,9.2150389
nrdD,2.570308818
nrdB,7.355654551
asnS,62.33262213
yhgF,6.959387566
gltA,3.4407449
nagA,55.82793622
icd,4.796401382
purU,9.056600083
lpdA,3.854931585
manA,9.367404739
pgi,6.075046874
acnA,0.53903997
sucB,1.800468542
pntA,5.240142266
metC,3.883977875
argT,2.611807877
gcvP,0.54670708
potA,6.86008294
nagE,5.452478695
nrdA,4.441011173
glpX,0.415874587
glmS,12.27300435
maeB,4.60635558
murB,5.103319689
mak,10.38173273
pgl,4.955892342
pspA,3.26287307
msbA,7.325865797
