Protein,mRNA
94.71,NA
104.65,NA
61.92,11.21
93.48,NA
79.67,NA
11.23,10.26
126.33,17.5
146.19,15.89
156.95,13.78
56.98,3.85
232.62,15.1
353.55,NA
173.71,14.29
67.3,14.39
76.26,10.38
115.73,16.04
136.33,13.73
214.8,12.78
163.81,9.18
121.22,18.14
232.5,15.53
149.73,NA
166.86,NA
136.68,21
125.88,19.97
50.34,12.63
107.35,10.3
90.65,15.9
111.89,11.11
185.87,10.99
139.91,3.13
77.4,19.09
146.2,15.69
143.71,17.75
173.25,6.32
234.01,11.52
127.29,9.58
30.96,NA
159.19,23.93
169.16,NA
111.15,14.94
51.91,NA
89.04,12.28
117.37,NA
214.8,13.25
47.91,5.86
187.52,15.47
61.08,21.99
179.27,15.09
172.09,15.3
80.35,NA
131.48,NA
395.54,26.77
136.95,11.6
89.46,18.79
177.85,NA
167.68,23.84
195.53,7.51
159.34,26.14
82.38,NA
111.57,9.99
113.9,15.72
153.61,12.7
93.18,18.46
117.92,14.21
229.98,15.47
126.56,5.3
75.08,NA
126.7,14.26
111.06,25.74
150.84,6.53
155.41,16.36
529.93,21.06
195.66,18.21
186.74,NA
152.89,NA
113.97,9.86
60.99,15.91
130.25,9.63
148.32,13.78
170.13,NA
142.48,14.91
121.61,9.55
149.28,17.99
128.83,15.92
131.75,NA
74.13,8.97
202.13,NA
137.05,19.23
100.86,21.49
183.25,14.86
129.09,NA
161.78,15.14
59.33,22.62
196.27,16.07
150.62,10.22
58.86,18.37
18.44,NA
46.96,13.62
134.46,7.55
44.44,14.55
129.16,16.86
85.83,NA
115.89,10.1
152.87,NA
134.93,NA
168.05,16
131.87,NA
140.33,NA
83.15,13
46.26,13.15
110.74,7.84
115.01,NA
144.05,23.67
196.11,11.13
122.22,16.42
255.53,17.07
67.67,12.15
84.17,17.52
153.27,16.2
271.11,21.92
123.14,6.82
234.25,NA
38.85,26.67
56.87,10.03
219.74,8.21
160.59,NA
134.19,NA
86.36,25.68
51.31,16.2
78.53,10.44
122.11,27.69
107.36,27.91
169.38,11.95
125.98,NA
77.78,NA
144.81,21.5
78.32,23.62
117.21,15.31
239.92,18.5
49.22,18.35
87.11,NA
204.72,19.27
122.47,NA
78.12,16.05
272.68,21.21
134.87,9.04
66.72,13.25
70.55,9.88
59.77,15.69
152.93,11.99
90.61,11.42
250.92,24.57
74.91,11.04
73.5,18.99
80.92,5.27
94.09,17.53
30.2,31.92
179.49,12.39
99.97,10.07
97.12,10.56
88.68,NA
121.68,25.94
85,NA
119.04,27.85
285.1,10.54
169.22,12.17
33.25,10.92
70.41,18.13
229.74,NA
98.31,10.89
63.24,10.69
59.42,11.6
324.85,17.26
412.94,19.1
79.73,13.66
118.55,14.96
93.83,NA
138.16,16.55
29.1,11.53
461.37,13
85.54,11.48
59.3,13.55
100.73,8.23
157.35,15.33
50.6,11.67
317.08,18.48
179.82,12.31
259.79,12.32
191.19,13.76
93.17,15.78
168.57,17.15
145.82,NA
196.93,NA
19.83,8.71
149.53,12.33
76.51,10.11
129.55,22.13
97.97,12.1
77.45,13.3
98.87,NA
153.45,NA
74.68,15.08
86.28,12.45
191.08,10.54
43.04,6.23
308.03,12.15
90.61,13.37
209.34,12.54
84.8,11.45
10.77,5.39
50.1,20.17
216.16,7.6
132.96,10.97
70.65,11.62
21.88,8.9
71.22,NA
96.79,19.06
140.04,10.36
70.44,14.47
94.27,11.11
73.27,16.81
15.95,14.45
78.77,13.61
356.14,15.33
104.14,10.2
37.85,8.13
411.79,15.78
78.32,NA
208.11,15.82
61.07,10.47
79.42,18.6
81.04,NA
120.53,14.78
176.87,8.97
16.94,10.96
102.72,10.36
34.54,11.05
55.36,NA
91.08,10.68
122.94,9.95
72.85,11.68
109.73,NA
103.48,6.58
88.76,20.85
25.45,17.79
72.78,NA
119.46,9.69
194.28,11.92
43.93,6.38
157.33,16.72
26.35,13.2
64.49,10.84
197.99,13.19
123.51,12.77
97.08,25.59
87.76,9.44
61.52,16.9
296.02,9.85
26.34,15.75
61.32,11.41
240.14,13.95
149.11,11.45
249.06,12.56
123.36,12.85
135.41,34.09
378.32,14.45
326.85,14.35
45.34,10.7
621.7,13.86
129.59,15.84
127.11,10.49
77.51,15.87
165.94,14.6
145,16.34
96.59,11.27
85.46,13.78
601.25,15.09
344.38,NA
86.12,13.51
57.95,13.16
167.28,27.15
104.54,11.13
126.39,15.01
62.75,12.61
47.61,9.65
200.32,13.45
28.89,NA
81.15,5.65
77.38,11.89
130.11,10.48
50.95,12.57
105.37,13.87
44.52,14.77
106.87,10.3
111.12,16.68
152.77,11.81
18.96,18.7
71.51,15.96
102.94,13.09
50.32,NA
21.66,7.76
81.36,18.51
73.14,NA
92.6,16.2
173.58,15.91
65.36,10.68
117.04,6.85
147.03,11.62
136.75,8.89
93.91,7.7
67.19,15.3
72.71,5.94
253.09,17.22
18.24,10.17
125.33,8.15
53.54,12.54
48.43,8.3
114.44,NA
54.34,8.26
135.01,8.55
125.12,19.1
38.54,9.16
6.52,4.99
19.53,8.51
301.11,NA
70.84,14.17
94.13,7.39
313.48,15.58
48.78,12.27
107.26,15.47
64.44,11.61
186.2,16.66
30.99,12.91
107.64,9.73
46.26,NA
68.07,13.52
87.15,14.5
109.95,9.63
67.42,14.1
265.83,19.79
98.25,10.1
167.55,16.85
146.33,14.72
137.91,NA
40.52,13.71
118.37,13.36
54.72,16.74
148.41,10.3
73.99,9.42
263.8,11.38
88.59,13.77
171.22,16.75
11.18,16.44
50.77,13.66
193.64,11.55
50.94,6.82
98.68,11.26
52.36,13.25
53.44,9.08
237,10.04
53.2,9.87
120.34,16.8
55.13,13.75
78.87,10.8
105.29,26.78
384.69,16.75
10.98,NA
197.49,7.69
120.11,9.91
25.65,11.72
42.66,14.11
95.84,5.09
94.45,9.06
76.44,12.68
120.31,25.21
15.53,11.73
151.77,12.71
68.86,14.35
146.86,6.9
100.8,10.07
28.67,14.12
57.12,14.95
133.57,11.59
107.44,12.33
49.77,14
46.83,13.25
135.21,9.29
49.48,8.24
39.79,13.13
52.94,7.52
63.03,12.34
98.01,16.33
118.68,14.58
93.54,10.68
80.27,10.43
28.43,18.53
204.29,12.52
9.15,NA
121.73,6.86
71.39,15.62
189.88,6.96
3809.6,21.48
73.09,10.87
48.05,12.89
65.11,22.46
63.15,12.46
42.07,11.85
60.47,11.55
54.14,14.8
110.88,10.39
68.39,14.43
37.87,14.92
177.27,NA
50.36,15.07
48.39,11.95
77.01,10.52
40.87,19.23
114.02,12.29
88.61,10.14
64.7,8.85
89.28,17.32
168.69,20.39
80.69,9.49
170.78,20.9
84.25,13.77
76.14,15.16
111.45,8.69
90.47,7.39
194.93,17.88
119.23,22.43
77.91,10.19
79.75,8.45
52.59,7.47
5763.7,11.63
153.63,11.83
99.89,7.48
86.79,15.09
167.99,12.42
96.39,NA
185.12,9.74
64.64,11.8
124.3,9.51
84.17,38.12
121.89,14.63
48.74,9.61
49.93,13.29
117.44,19.27
61.47,14.42
79.35,10.64
420.08,20.23
76.48,17.22
47.02,8.64
72.67,10.67
162.05,11.73
107.92,8.32
59.06,8.23
47.1,10.55
65.21,13.2
140.41,8.29
33.67,12.24
78.8,12.07
70.32,9.31
183.56,11.98
72.51,7.19
179.44,10.87
81.13,13.86
54.21,7.28
100.04,22.21
55.68,20.47
47.83,8.58
138.7,12.77
107.22,9.77
40.81,17.32
149.77,17.04
151.3,13.12
44.62,9.2
75,11
141.26,11.95
31.45,18.79
47.83,17.41
103.23,19.47
84.45,12.99
110.38,9.04
265.17,8.17
97.42,6.63
117.47,8.2
41.84,11.06
41.81,11.61
69.79,9.47
667.35,12.74
14.7,11.31
161.75,22.27
77.53,11.96
25.83,14.78
403.21,8.5
28.47,13.14
403.14,18.06
46.24,16.83
297.4,19.98
24.86,10.84
136.42,28.8
88.09,10.13
16.9,11.85
115.62,10.25
57.49,12.45
56.02,8.48
49.78,36.18
170.91,21.82
163.84,17.8
38.46,7.45
93.44,13.85
48,16.5
65.23,14.74
67.04,22.53
764.13,12.24
112.18,8.84
65.67,12.73
42.69,15.7
84.3,17.22
73.04,18.68
58.07,9.43
181.48,12.73
157.89,12.96
16.13,4.76
46.92,13.18
82.2,11.47
12.74,18.35
169.01,8.53
27.64,10.01
99.79,9.04
76.85,9.23
87.49,9.16
273.31,15.93
27.2,10.27
57.76,10.81
58.82,8.51
33.35,9.44
78.9,8.48
126.31,15.05
46.39,10.18
80.23,6.99
237.74,NA
108.92,11.32
34.63,13.12
42.29,8.07
71.84,11.38
66.82,9.59
47.76,28.42
55.46,15.21
25.74,12.86
94.63,10.84
542.17,9.88
41.57,6.69
69.82,20.68
28.63,6.89
16.94,NA
33,12.88
23.88,8.73
15.42,15.26
63.12,13.45
63.33,8.96
28.98,18.27
2363.5,16.17
49.02,9.5
141.89,14.6
172.6,9.49
79.05,6.78
227.83,NA
35.32,9.5
163.48,15.78
31.83,12.71
252.34,9.24
85.81,14.15
24.34,9.74
135.56,9.33
93.85,7.03
148.35,18.28
494.36,21.11
666,11.79
55.99,8.35
44.5,8.81
104.56,11.83
280.91,14.68
64.25,12.61
78.69,NA
63,12.84
154.56,13.9
81.03,20.05
66.49,14.08
35.05,17.81
148.61,NA
35.54,12.75
706.59,18.21
189.87,10.89
35.08,2.75
28.56,16.67
167.16,5.04
67.87,16.04
42.4,8.96
8.6,8.64
129.25,17.75
39.77,15.06
68.16,20.43
251.46,17.23
91.67,18.79
37.95,5.98
119.85,17.59
67.26,26.48
172.45,15.22
314.06,9.58
96.29,9.32
309.62,12.91
73.27,16.24
54.48,13.49
144.03,10.07
53.54,22.11
114.16,7.14
289.5,15.95
73.02,11.69
89.72,24.35
109.4,11.63
65.85,15.29
71.34,10.01
96.65,13.8
51.88,7.91
17.97,10.75
60.11,24.81
70.1,13.68
103.28,12.59
76.93,12.83
83.41,11.48
325.17,11.66
260.7,15.22
603.92,14.56
57.42,10.31
49.89,10.25
142.7,NA
79.03,7.16
864.87,9.84
240.01,13.6
62.32,22.09
13.13,22.91
26.24,21.24
81.66,13.9
65.3,24.36
45.2,13.75
99.73,9.48
143.91,8.43
401.82,17.63
72.47,5.87
38.58,5.42
45.38,21.16
433.65,15.87
134.2,11.78
46.98,9.42
81.57,27.47
76.07,18.34
95.87,10.59
66.42,11.73
122.22,10.97
60.08,11.53
59.57,11.11
185.1,11.51
112.03,21.54
159.35,12.88
53.53,15.1
93.99,12.84
23.4,13.36
11.49,5.75
56.52,22.2
106.12,6.05
67.71,11.82
24.14,9.3
72.3,14.75
48.11,16.08
25.56,9.53
88.51,12.02
43.59,12.47
150.9,NA
602,14.73
72.03,9.09
60.67,8.85
89.96,13.98
46.26,12.75
44.08,9.45
100.47,13.06
76.39,5.47
79.8,NA
73.87,12.78
79.64,12.19
14.38,19.69
97.37,NA
63.7,8.23
76.45,9.2
126.01,10.66
57.94,11.98
73.98,9.82
283.21,11.47
45.84,NA
506.14,8.4
58.07,11.51
48.7,8.85
7.52,10.72
82.43,17.68
79.15,9.83
193.29,NA
159.46,NA
56.8,13.59
42.03,3.12
34.65,13.53
17.22,8.45
28.6,15.6
55.97,7.81
80.28,15.37
70.5,5.68
51.56,14.07
44.42,18.19
92.16,NA
69.38,8.92
26.71,11.61
50.56,13.96
133.08,11.89
59.52,9.05
19.31,15.95
103.71,8.67
21.76,NA
43.27,NA
23.97,10.43
53.13,7.41
121.32,19.67
212.56,NA
120.29,7.46
162.68,7.79
76.77,23.54
333.95,8.42
30.47,16.69
94.94,21.32
56.91,NA
327.6,12.09
33.98,9.63
113.2,9.52
33.03,13.49
87.38,16.32
93.88,NA
44.27,5.47
37.16,20.74
54.64,11.46
722.19,8.5
89.87,10.96
25.34,11.32
198.15,14.24
20.8,8.21
211.45,5.21
61.84,12.83
26.91,12.27
55.24,9.63
69.89,10.82
58.74,10.54
139.71,6.35
400.6,10.78
50.01,9.13
182.3,22.5
85.92,10.97
149.52,12.24
204.79,NA
296.85,11.15
55.66,12.45
68.81,9.27
65.93,9.17
127.92,14.87
57.02,6.47
108.23,12.1
130.95,19.07
71.7,15.57
28.18,7.19
90.42,27.46
33.28,6.01
57.3,13.68
94.84,11.29
90,9.57
176.33,14.69
16.88,5.41
46.95,12.49
123.48,9.19
26.79,7.87
32.12,9.05
103.72,8.31
86.75,11.7
40.95,11.28
43.47,NA
106.23,5.99
55.12,12
30.37,8.49
34.54,5.16
95.05,8.52
101.68,15.22
95.17,12.81
46.62,NA
115.39,16.66
15.71,15.36
188.52,11.35
1185.09,17.42
298.97,12.3
6.96,10.49
46.79,8.57
80.42,NA
102.78,27.75
32.4,NA
75.94,26.95
48.47,10.86
40.42,19.87
28.94,11.51
75.56,8.59
45.18,10.79
127.44,8.71
5.88,14.59
138.48,9.52
75.82,20.76
235.2,7.21
212.5,10.94
59.57,13.42
107.99,14
13.29,14.1
88.68,11.47
19.74,13.29
153.76,17.98
170.91,11.62
79.38,13.39
41.14,27.05
303.92,23.16
583.52,9.56
63.48,18.09
22.92,7.74
154.21,6.25
55.81,16.45
54.89,6.73
308.5,14.19
60.15,NA
289.14,17.81
43.25,12.61
96.11,12.78
47.7,12.94
86.36,12.46
53.68,5.71
46.41,24.99
53.94,18.96
86.88,11.96
79.49,8.81
52.9,6.38
33.13,8.94
98.39,14.45
60.84,12.63
51.63,22.13
9.71,9.43
50.03,9.96
310.63,15.44
26.91,9.34
114.96,22.54
98.21,10.66
113.45,23.58
119.31,14.67
72.15,12.97
19.76,15.44
3323.46,10.43
5.99,8.36
28.81,18.67
7.34,9.57
12.1,9.08
69.56,13.8
31.72,14.44
186.52,16.12
27.58,7.61
68.72,11.07
231.66,11.12
97.15,11.42
46.02,11.44
69.29,11.51
139.33,17.24
39.02,8.95
37.27,8.73
36.09,6.86
133.12,12.93
60.68,9.61
34.85,14.36
28.08,14.35
157.16,4.69
20.89,8.13
58.91,8.05
146.28,9.32
60.24,7.72
123.77,19.35
51.93,10.56
23.83,6.64
398.19,6.24
64.7,21.52
379.74,NA
28.09,16.24
36.36,10.8
106.25,12.51
45.83,16.58
110.82,11.87
1274.4,17.2
90.75,7.05
238.77,12.38
41.08,12.74
194.23,10.41
212.6,9.96
83.7,19.63
394.58,11.97
17.01,11.52
9.71,16.69
50.17,13.07
46.4,15.03
167.98,19.05
30.29,15.84
63.66,20.09
64.55,9.17
54.34,8.25
45.66,8.26
22.1,10.38
40.05,6.95
129.47,7.23
118.27,NA
74.28,10.3
7.16,23.87
86.83,16.02
143.38,9.3
38.67,7.04
85.59,26.89
22.29,NA
70.83,11.43
70.94,7.08
21.12,13.25
59.26,10.41
25.66,NA
85.36,7.87
129.08,20.72
72.64,8.06
70.43,8.37
119.98,8.83
158.99,14.83
29.59,12.25
32.68,10.98
137.62,13.59
694.51,9.36
19.9,NA
43.46,4.21
199.34,10.9
241.07,15.03
119.83,7.98
16.17,11.63
34.72,15.03
93.41,17.5
20.12,25.34
48.82,14.03
134.79,15.62
107.37,12.34
110.75,18.03
71.3,6.07
102.9,19.78
77.26,17.17
63.39,14.58
77.46,16.23
132.44,9.86
11.61,10.95
73.08,NA
519.98,15.82
45.8,6.05
47.23,17.79
18.71,10.98
68.61,9.73
144.54,15.54
44.5,11.11
214.22,9.76
197.83,12.75
111.59,5.07
79.65,7.8
32.34,9.86
100.73,10.89
73.65,4.11
95.24,9.53
89.2,5.09
26.48,3.81
77.34,13.17
35.83,8.6
39.86,13.53
33.36,21.11
29.17,11.31
363.84,15.78
85.85,15.49
27.81,17.79
133.82,14.7
25.89,10.75
121.37,6.7
26.97,8.4
160.76,17.52
149.64,10.48
225.89,16.26
6.15,7.06
174.15,9.83
38.04,6.92
13.79,4.65
54.76,13.38
101.39,16.3
24.74,11.71
47.31,7.93
248.05,11.43
54.22,13.81
22.94,11.81
55.78,9.3
24.11,NA
158.62,9.85
75.08,10.34
649.84,11.33
15.05,11.49
56.1,11.62
64.55,12.22
44.71,NA
209.47,9.19
89.81,12.54
50.67,27.51
35.11,6.16
95.21,15.56
18.04,11.13
138.42,10.84
261.83,15.76
82.97,7.6
24.24,18.31
4.26,6.25
687.27,15.54
17.43,10.36
89.35,17.09
6.3,24.29
9.3,22.59
44.35,12.64
40.02,8.48
35.85,11.05
100.05,12.71
196.37,14.87
35.83,13.21
12.31,12.68
50.49,16.12
25.44,6.35
80.41,20.53
22.13,12.76
171.39,9.02
163.37,6.27
29.13,21.66
29.42,12.74
45.13,8.19
36.16,7.84
38.15,9.44
43.32,20.88
42.5,11.04
32.48,6.79
53.73,10.19
65.59,14.46
16.91,7.08
32.75,18.61
45.67,9.08
145.55,12
126.9,13.03
35.6,8.34
110.18,13.12
52.81,8.63
98.37,14.13
58.38,13.15
16.63,6.47
66.5,9.3
59.06,12.25
57.15,10.22
72.24,8.74
45.94,13.23
166.76,19.25
153.29,NA
4.98,9.49
57.43,NA
24.96,10.02
45.36,11.97
56.95,10.64
28.58,5.12
