Gene,Half-life (h)
RGS16,0.1
C1orf74,0.1
PELO,0.2
ZNF473,0.2
ZBTB24,0.2
TNFSF9,0.3
RPP38,0.3
HEL308,0.3
ADM,0.3
TRA16,0.3
RASSF1,0.3
ASB7,0.3
TBCC,0.4
ZNF622,0.4
MID1IP1,0.4
BRPF1,0.4
NFKBIA,0.4
ADAT3,0.4
GSG2,0.4
KTI12,0.4
ID3,0.4
SNORA68,0.5
PLAGL2,0.5
PUS3,0.5
ZNF343,0.5
MEPCE,0.5
LOC441212 /// RP9,0.5
BRF2,0.5
C15orf39,0.5
TRIM11,0.5
MAD2L1BP,0.5
MED26,0.5
BLR1,0.5
CCDC137,0.5
ING1,0.5
3-Mar,0.5
SCO2,0.5
ZNF7,0.5
GPR18,0.5
DDX28,0.5
TRIM13,0.5
NFIL3,0.5
VPS18,0.5
MANBAL,0.5
LOC201164,0.5
RNF113A,0.5
BAT4,0.5
SLC2A1,0.5
C18orf25,0.6
ZNF263,0.6
GPATCH3,0.6
TRSPAP1,0.6
LOC283951,0.6
C21orf91,0.6
IER5,0.6
ZNF689,0.6
RGS2,0.6
KCTD6,0.6
ZNF653,0.6
CLP1,0.6
TNRC5,0.6
EBI2,0.6
PATZ1,0.6
ZNF232,0.6
MFSD5,0.6
TREX1,0.6
ZNF274,0.6
HPDL,0.6
ZSCAN16,0.6
ZNF565,0.6
LOC148413,0.6
ZNF317,0.6
FLJ37453,0.6
PHF23,0.6
FEM1A,0.6
TAGAP,0.6
CITED2,0.6
INTS5,0.7
ZNF253,0.7
DUSP10,0.7
FADD,0.7
CEBPB,0.7
ZNF777,0.7
CHST10,0.7
LOC339352,0.7
LOC441212,0.7
DKFZp761P0423,0.7
ICAM1,0.7
IHPK2,0.7
MAP1S,0.7
GPR65,0.7
ZKSCAN4,0.7
BCL7A,0.7
C1orf135,0.7
C1orf79,0.7
LOC644096,0.7
ZNF766,0.7
ZNF35,0.7
NY-SAR-48,0.7
