Gene,Half-life (h)
PDCL,8.1
TK1,8.6
CTNNAL1;RP11-115J22.1-005,8.7
TEGT;BI1;TMBIM6,8.8
UBL5,8.9
SASS6;SAS6,9.1
ARMCX2;ALEX2;KIAA0512,9.3
MAP1LC3B;MAP1ALC3,9.3
FAM128B;FAM128A,9.5
FAR1;MLSTD2;UNQ2423/PRO4981,9.6
FADS2,9.6
NDUFA4,9.7
CENPM;C22orf18;ICEN39;PANE1,9.8
DLGAP5;DLG7;KIAA0008;hCG_22118,9.8
CDC123;C10orf7;D123,9.9
GGA2;KIAA1080,10
PRC1,10.1
AAMP,10.1
ESRRA;ERR1;ESRL1;NR3B1;hCG_2016877;ESRRB;ERRB2;ESRL2;NR3B2,10.1
CCNB1;CCNB,10.2
WDR6,10.2
CKS2,10.3
POMP;C13orf12;UMP1;HSPC014;HSPC036;PNAS-110,10.3
KKLC1;CXorf61,10.4
PEG10;EDR;KIAA1051;MAR2;MART2;MEF3L1;RGAG3,10.5
SDCBP;MDA9;SYCL,10.5
CTNNA1,10.6
CCDC21,10.6
OSIL,10.7
TGFBR1;ACVR1B;ACVRLK4;ACVR1C;ALK7,10.7
FADS1;FADSD5,10.7
CENPH;ICEN35,10.7
PMM1;PMMH22,10.8
PRSS21;ESP1;TEST1;UNQ266/PRO303,10.9
FTH1;FTH;FTHL6;OK/SW-cl.84;PIG15,10.9
ZNF460;ZNF272,10.9
DKFZp667D2317,10.9
TXNDC15;C5orf14;UNQ335/PRO534;DKFZp686L0872,11
BICD1,11
SQSTM1;ORCA;OSIL,11.1
FAM127A;CXX1;MAR8;MAR8C;MART8,11.1
IK;RED;RER,11.2
AFF4;AF5Q31;MCEF;HSPC092,11.2
IFITM3,11.2
MELK;KIAA0175,11.3
,11.3
PLD3,11.3
RIOK2,11.6
CYP51A1;CYP51,11.6
SPAG5,11.6
MID1IP1;MIG12,11.6
TTC17;DKFZp686D20222,11.6
MNT;ROX,11.7
ELL2,11.7
MKL1;KIAA1438;MAL,11.8
IFRG15;hCG_1759493,11.8
ESPL1;ESP1;KIAA0165,11.8
USP11;UHX1,11.8
KCTD3;RP11-5F19.1-005,11.8
GPR56;TM7LN4;TM7XN1;UNQ540/PRO1083,11.9
SLC38A5;JM24;SN2;SNAT5;PP7194,11.9
APP;A4;AD1,11.9
KIF11;EG5;KNSL1;TRIP5,11.9
